,Tweets,len,ID,Date,Source,Likes,coordinates,timestamp,SA
98,? Aquest dimarts (20.30h) connecta’t al https://t.co/VBc0brnKmv de @JuntsXCat | #Megamíting https://t.co/TKGieYGxqm,115,942476331538894848,2017-12-17 19:27:22,Twitter for Android,2852,,2017-12-17,0
99,Molt feliç d'haver ajudat @la_marato des de Brussel·les. Hem recaptat 1.540 euros en una trobada solidària amb més… https://t.co/v3HrB4borR,139,942426068623003649,2017-12-17 16:07:38,Twitter for Android,10366,,2017-12-17,0
100,RT @Verds: Aquest és el 4d7 conjunt que més de 200 castellers de tot Catalunya hem fet per reclamar democràcia i la #LlibertatPresosPolític…,140,942425329506967552,2017-12-17 16:04:42,Twitter for Android,0,,2017-12-17,0
101,"Primer van ""cepillar"" l'Estatut d'autonomia i ara volen ""desinfectar"" la societat catalana. El PSC-PSOE, la cara bo… https://t.co/JySSaKhudM",140,942375089131180032,2017-12-17 12:45:04,Twitter for Android,9651,,2017-12-17,0
102,"RT @JuntsXCat: ?? #president @KRLS: “Si el 155 és rebutjat a les urnes i es respecta el resultat del #21D, tornaré”

? Entrevista a @LaVang…",140,942373478119985152,2017-12-17 12:38:40,Twitter for Android,0,,2017-12-17,0
103,"RT @JuntsXCat: ? #president @KRLS: ""Volem fer un país millor entre tots, on puguem veure fer realitat els nostres somnis. Per fer això ens…",139,942372864384172032,2017-12-17 12:36:13,Twitter for Android,0,,2017-12-17,0
104,"RT @JuntsXCat: ? #president @KRLS: ""Avui és diumenge de @la_marato. L'activitat solidària que torna ensenyar la millor cara de Catalunya al…",140,942372573916037120,2017-12-17 12:35:04,Twitter for Android,0,,2017-12-17,0
105,RT @jordialapreso: Ahir vaig aconseguir que sentíssiu la meva veu. Avui m’han canviat de mòdul dins de la presó.  És la seva reacció a l’ex…,140,942206746352869381,2017-12-17 01:36:08,Twitter for Android,0,,2017-12-17,0
106,"Mentre el PP presumeix de tenir els seus rivals polítics a la presó i de liquidar les institucions, l'Estat llueix… https://t.co/GUdUi3CTGO",139,942076989384650753,2017-12-16 17:00:31,Twitter for Android,7158,,2017-12-16,0
107,"RT @JuntsXCat: ?? #president @KRLS: ""No se’n sortiran. L'escola catalana és un espai de llibertat que absolutament ningú mai podrà engarjol…",140,942074987833384960,2017-12-16 16:52:34,Twitter for Android,0,,2017-12-16,0
108,"RT @JuntsXCat: El #21D: Llum als ulls i força al braç. Gràcies a tots. Guanyarem!

#JuntsXCat https://t.co/HIe0y2KPRg",117,941980289794039813,2017-12-16 10:36:16,Twitter for Android,0,,2017-12-16,0
109,Il·lusionat amb veure el meu @GironaFC amb molts catalans a benefici de @la_marato. Us convido a acompanyar-m’hi aq… https://t.co/KS2ah4VbMe,140,941788659778453509,2017-12-15 21:54:48,Twitter for Android,3070,,2017-12-15,0
110,RT @JuntsXCat: ?? #president @KRLS: “Us vaig dir fa més d’un any: referèndum o referèndum. Ens vam fer confiança uns als altres i vam guany…,140,941766789691772928,2017-12-15 20:27:54,Twitter for Android,0,,2017-12-15,0
111,"RT @JuntsXCat: ?? @jordialapreso: “El mur de la presó m'impedeix ser aquí. Com diu Espriu, tenim la raó contra bords i lladres, però amb la…",140,941766607851933696,2017-12-15 20:27:11,Twitter for Android,0,,2017-12-15,0
112,El #Tripartit155 es presenten com a garants i són piròmans: han volgut crear pànic amb les empreses i ha tingut efe… https://t.co/8TDmr8MX4D,140,941688931006992384,2017-12-15 15:18:31,Twitter for Android,7345,,2017-12-15,0
113,"RT @JuntsXCat: Aquest vespre, fem l'acte central de campanya amb el #president @KRLS i @jordialapreso! A les 19.30h, al Pavelló Municipal d…",140,941688355628122113,2017-12-15 15:16:14,Twitter for Android,0,,2017-12-15,0
114,"RT @JuntsXCat: ?? #president @KRLS: “La voluntat política dels catalans es manté més forta que mai”. Entrevista a @elvallenc, el setmanari…",139,941620558244048896,2017-12-15 10:46:50,Twitter for Android,0,,2017-12-15,0
